,real,stable,neutstab,logT,low_step,high_step,Times
0,6.894396,6.888271,6.8905034,6.902763,6.8968434,6.897079,2000-01-01 01:00:00
1,8.368223,9.231526,7.3783927,6.3915424,8.528158,7.235738,2000-01-01 01:05:00
2,10.703659,11.734442,10.623656,10.584985,11.000018,9.856058,2000-01-01 01:10:00
3,10.91795,12.176303,11.767112,11.2963705,12.955639,10.127885,2000-01-01 01:15:00
4,11.161098,10.260585,12.175828,11.574418,13.661126,11.645006,2000-01-01 01:20:00
5,11.979893,13.008778,12.519684,11.735921,13.688097,12.853696,2000-01-01 01:25:00
6,11.411405,11.829326,12.851456,11.894097,13.607169,14.824765,2000-01-01 01:30:00
7,11.586381,12.624813,13.716778,11.617285,14.262447,15.55242,2000-01-01 01:35:00
8,12.466306,10.09676,12.441299,10.596765,15.267116,16.067204,2000-01-01 01:40:00
9,11.057889,10.432087,11.288156,10.110562,14.461522,15.601106,2000-01-01 01:45:00
10,12.051412,9.268604,11.406972,9.696449,15.207921,15.043534,2000-01-01 01:50:00
11,11.037501,10.682476,11.996828,10.973913,14.725541,15.528516,2000-01-01 01:55:00
12,10.30874,9.80661,12.386258,9.701182,14.747964,14.985517,2000-01-01 02:00:00
13,10.197591,9.223088,12.847577,10.391257,14.108134,15.750995,2000-01-01 02:05:00
14,10.609474,9.707104,12.578554,10.189858,14.325954,14.434745,2000-01-01 02:10:00
15,12.0738,9.591066,12.940674,10.391874,11.96916,14.084419,2000-01-01 02:15:00
16,11.520196,9.842794,11.7169,11.218111,12.853731,12.173382,2000-01-01 02:20:00
17,12.158077,10.875344,12.537629,9.768292,12.524715,12.700745,2000-01-01 02:25:00
18,10.629775,10.181249,12.47158,11.261659,11.299801,12.201318,2000-01-01 02:30:00
19,10.708693,9.751255,11.153825,11.484545,10.964663,11.742349,2000-01-01 02:35:00
20,9.921239,8.536019,11.922085,11.763585,11.46569,14.039948,2000-01-01 02:40:00
21,10.441634,7.964981,11.680711,12.871472,8.438295,11.080611,2000-01-01 02:45:00
22,11.805986,6.965981,13.409516,11.499526,7.757951,9.803258,2000-01-01 02:50:00
23,11.058995,7.826486,11.825385,12.318686,9.54711,10.472074,2000-01-01 02:55:00
24,10.939469,7.9053354,10.834541,13.709897,8.149852,10.611121,2000-01-01 03:00:00
25,10.781674,7.977307,10.931234,12.280957,7.105618,9.857557,2000-01-01 03:05:00
26,11.106778,5.9647665,11.077039,12.628842,8.161866,10.019864,2000-01-01 03:10:00
27,12.172041,6.262685,10.785194,11.927735,9.176565,10.721728,2000-01-01 03:15:00
28,13.272161,6.5193267,10.311412,12.166106,8.768993,9.545962,2000-01-01 03:20:00
29,13.907519,5.676025,10.420823,11.691166,8.384946,9.074928,2000-01-01 03:25:00
30,13.47,5.5899725,10.886781,12.20431,7.8478456,9.755343,2000-01-01 03:30:00
31,12.020707,6.062579,11.864275,11.92379,6.9932046,9.011225,2000-01-01 03:35:00
32,11.726907,6.1243863,10.389251,12.14894,7.600201,10.360732,2000-01-01 03:40:00
33,11.551762,6.0473166,12.427833,11.180105,8.478104,11.028762,2000-01-01 03:45:00
34,10.660577,5.931421,12.026161,12.516941,7.4416647,8.827198,2000-01-01 03:50:00
35,10.938545,5.555548,11.955122,12.6575575,7.4621825,8.72011,2000-01-01 03:55:00
36,10.441767,4.9477077,12.70011,13.6229105,6.610834,10.190073,2000-01-01 04:00:00
37,11.142944,4.9056363,11.682807,11.908682,7.0826244,8.676277,2000-01-01 04:05:00
38,11.016934,5.0694966,11.119737,14.140897,6.5000987,10.861586,2000-01-01 04:10:00
39,11.788312,4.970016,10.473318,12.708448,7.6472898,9.24857,2000-01-01 04:15:00
40,13.094263,5.3000574,10.430353,12.013025,7.3873057,8.939823,2000-01-01 04:20:00
41,11.293583,5.37588,13.0323,13.478921,8.505322,7.89719,2000-01-01 04:25:00
42,12.54151,5.257554,12.076324,13.078965,8.032187,11.166021,2000-01-01 04:30:00
43,11.682723,5.1162663,10.331953,13.49395,7.5975103,9.408738,2000-01-01 04:35:00
44,11.69539,5.257067,10.201677,13.531344,7.655355,8.623454,2000-01-01 04:40:00
45,11.653519,5.240856,11.212289,13.646163,6.845717,8.782292,2000-01-01 04:45:00
46,11.254288,4.9336543,9.962513,14.39797,6.238517,8.67782,2000-01-01 04:50:00
47,11.053443,5.6928105,9.277804,15.033764,6.7852,7.6271887,2000-01-01 04:55:00
48,10.977348,5.5275583,10.289344,13.552575,6.713317,7.134682,2000-01-01 05:00:00
