,real,stable,neutstab,logT,low_step,high_step,Times
0,36.86667,28.876795,28.876366,39.26085,28.914175,28.91439,2000-01-01 01:00:00
1,42.056084,33.197258,32.72253,47.631668,32.71712,32.712082,2000-01-01 01:05:00
2,45.745,36.329933,34.440224,54.00098,34.444637,34.43544,2000-01-01 01:10:00
3,47.923573,36.893932,36.281887,53.568863,36.285847,36.21318,2000-01-01 01:15:00
4,49.45801,37.40959,37.061413,54.324306,36.39771,37.72259,2000-01-01 01:20:00
5,49.070015,38.014477,37.072685,55.05922,37.130077,36.386112,2000-01-01 01:25:00
6,49.397335,39.13441,35.65594,56.65377,34.57954,35.90609,2000-01-01 01:30:00
7,50.28894,39.92506,35.288506,58.338367,35.031654,34.692734,2000-01-01 01:35:00
8,50.42965,39.50231,35.041115,59.75342,35.389217,35.041447,2000-01-01 01:40:00
9,49.799084,40.412617,35.33871,60.153893,36.00793,35.359493,2000-01-01 01:45:00
10,50.61939,41.107506,35.81728,58.944454,36.74484,35.868954,2000-01-01 01:50:00
11,49.903725,41.29521,35.62122,58.227833,36.576706,36.201954,2000-01-01 01:55:00
12,50.33152,42.019176,36.081696,59.335083,37.710423,35.951054,2000-01-01 02:00:00
13,50.569393,41.871815,36.080135,59.416206,36.90915,36.857933,2000-01-01 02:05:00
14,50.99434,42.323963,36.133305,59.658028,37.57439,36.75669,2000-01-01 02:10:00
15,50.700542,42.813698,36.08584,61.922276,38.260326,37.45736,2000-01-01 02:15:00
16,51.95633,42.72818,36.33655,60.140186,38.43243,37.28742,2000-01-01 02:20:00
17,52.21672,43.14476,36.484146,59.972534,38.13585,37.645584,2000-01-01 02:25:00
18,51.95604,43.110836,36.5545,59.930153,38.174755,37.554325,2000-01-01 02:30:00
19,51.939613,43.227493,36.364845,60.729877,38.379993,38.27072,2000-01-01 02:35:00
20,52.12053,43.787914,36.815678,60.67073,38.73186,37.41903,2000-01-01 02:40:00
21,52.50211,43.769653,36.616207,60.307083,38.486195,37.151333,2000-01-01 02:45:00
22,53.40947,44.43448,37.004723,61.26848,39.20362,37.454815,2000-01-01 02:50:00
23,53.114204,44.213364,37.46473,61.25519,39.26408,38.120243,2000-01-01 02:55:00
24,53.03286,45.045547,37.45864,62.244926,39.178017,38.220905,2000-01-01 03:00:00
25,53.07513,44.48082,37.458096,61.545975,39.532475,37.938267,2000-01-01 03:05:00
26,53.5093,44.66345,37.491135,61.39772,39.31842,38.30865,2000-01-01 03:10:00
27,54.13747,45.064926,37.61531,61.659634,39.72022,37.984882,2000-01-01 03:15:00
28,54.268787,45.152676,37.61342,61.70136,39.17882,38.67131,2000-01-01 03:20:00
29,54.38389,45.13564,37.623688,61.597416,39.72261,38.70912,2000-01-01 03:25:00
30,54.688046,46.00699,37.933025,62.21501,39.933846,39.06526,2000-01-01 03:30:00
31,55.171112,45.959213,38.21329,62.061546,40.654613,39.52183,2000-01-01 03:35:00
32,54.994316,45.68276,38.039803,63.16363,40.017765,38.76365,2000-01-01 03:40:00
33,54.560535,45.818745,38.40431,62.254654,39.97445,38.67301,2000-01-01 03:45:00
34,55.14188,46.158566,38.670944,62.872746,40.137196,39.08696,2000-01-01 03:50:00
35,54.90442,46.64917,38.461914,62.812267,40.43378,39.344807,2000-01-01 03:55:00
36,54.992558,46.451954,38.009857,62.773495,40.51329,38.89338,2000-01-01 04:00:00
37,55.636997,46.167374,39.058456,63.244267,40.478886,39.20809,2000-01-01 04:05:00
38,55.315624,46.247738,38.386578,63.35001,40.563026,39.219173,2000-01-01 04:10:00
39,55.400215,47.02013,38.60554,62.87643,40.706966,39.29501,2000-01-01 04:15:00
40,55.654903,47.148483,38.854454,63.113224,40.688705,40.297855,2000-01-01 04:20:00
41,55.838814,47.2492,39.117447,64.14803,40.826385,39.79707,2000-01-01 04:25:00
42,56.384308,47.56102,38.667732,64.62412,40.983307,39.69691,2000-01-01 04:30:00
43,55.99268,47.236618,38.624367,64.61519,41.63158,39.435604,2000-01-01 04:35:00
44,56.499176,47.49423,38.943882,64.443146,41.49978,39.916447,2000-01-01 04:40:00
45,56.594303,47.67124,38.987648,63.752407,41.423847,39.95361,2000-01-01 04:45:00
46,56.985718,48.110195,39.204193,63.804764,41.804707,40.021374,2000-01-01 04:50:00
47,57.090733,48.533993,39.289684,64.22882,41.893753,39.963757,2000-01-01 04:55:00
48,56.659733,48.601757,39.151657,65.658295,41.7768,40.101833,2000-01-01 05:00:00
