,value,component,exp,Time
0,0.0,x-mom,real,2000-01-01 05:00:00
1,0.01781313121318817,x-mom,real,2000-01-01 05:00:00
2,0.03400639072060585,x-mom,real,2000-01-01 05:00:00
3,0.04931529238820076,x-mom,real,2000-01-01 05:00:00
4,4.306336879730225,x-mom,real,2000-01-01 05:00:00
5,-6.328087329864502,x-mom,real,2000-01-01 05:00:00
6,-62.41550827026367,x-mom,real,2000-01-01 05:00:00
7,-75.13614654541016,x-mom,real,2000-01-01 05:00:00
8,23.746152877807617,x-mom,real,2000-01-01 05:00:00
9,-75.57118225097656,x-mom,real,2000-01-01 05:00:00
10,-70.31236267089844,x-mom,real,2000-01-01 05:00:00
11,54.55376052856445,x-mom,real,2000-01-01 05:00:00
12,31.3189754486084,x-mom,real,2000-01-01 05:00:00
13,-69.94376373291016,x-mom,real,2000-01-01 05:00:00
14,-72.90760803222656,x-mom,real,2000-01-01 05:00:00
15,-143.36624145507812,x-mom,real,2000-01-01 05:00:00
16,-240.43589782714844,x-mom,real,2000-01-01 05:00:00
17,-111.49646759033203,x-mom,real,2000-01-01 05:00:00
18,151.5897674560547,x-mom,real,2000-01-01 05:00:00
19,322.1022033691406,x-mom,real,2000-01-01 05:00:00
20,299.2657165527344,x-mom,real,2000-01-01 05:00:00
21,256.1656494140625,x-mom,real,2000-01-01 05:00:00
22,115.11534118652344,x-mom,real,2000-01-01 05:00:00
23,71.0757827758789,x-mom,real,2000-01-01 05:00:00
24,244.2672576904297,x-mom,real,2000-01-01 05:00:00
25,297.4704284667969,x-mom,real,2000-01-01 05:00:00
26,282.58026123046875,x-mom,real,2000-01-01 05:00:00
27,-27.096811294555664,x-mom,real,2000-01-01 05:00:00
28,30.299428939819336,x-mom,real,2000-01-01 05:00:00
29,136.8203887939453,x-mom,real,2000-01-01 05:00:00
30,38.59915542602539,x-mom,real,2000-01-01 05:00:00
31,77.88411712646484,x-mom,real,2000-01-01 05:00:00
32,242.00340270996094,x-mom,real,2000-01-01 05:00:00
33,174.5408477783203,x-mom,real,2000-01-01 05:00:00
34,18.65507698059082,x-mom,real,2000-01-01 05:00:00
35,-36.74542999267578,x-mom,real,2000-01-01 05:00:00
36,108.069091796875,x-mom,real,2000-01-01 05:00:00
37,309.4851989746094,x-mom,real,2000-01-01 05:00:00
38,393.2631530761719,x-mom,real,2000-01-01 05:00:00
39,417.4674377441406,x-mom,real,2000-01-01 05:00:00
40,162.36062622070312,x-mom,real,2000-01-01 05:00:00
41,144.72592163085938,x-mom,real,2000-01-01 05:00:00
42,351.93487548828125,x-mom,real,2000-01-01 05:00:00
43,116.39344787597656,x-mom,real,2000-01-01 05:00:00
44,6.263614654541016,x-mom,real,2000-01-01 05:00:00
45,1.0933729410171509,x-mom,real,2000-01-01 05:00:00
46,56.660728454589844,x-mom,real,2000-01-01 05:00:00
47,-40.73727035522461,x-mom,real,2000-01-01 05:00:00
48,44.95463180541992,x-mom,real,2000-01-01 05:00:00
0,0.0,y-mom,real,2000-01-01 05:00:00
1,0.004747950937598944,y-mom,real,2000-01-01 05:00:00
2,0.009407567791640759,y-mom,real,2000-01-01 05:00:00
3,0.015532165765762329,y-mom,real,2000-01-01 05:00:00
4,-0.0011343942023813725,y-mom,real,2000-01-01 05:00:00
5,0.6672788858413696,y-mom,real,2000-01-01 05:00:00
6,3.0069613456726074,y-mom,real,2000-01-01 05:00:00
7,-2.7513818740844727,y-mom,real,2000-01-01 05:00:00
8,2.385286331176758,y-mom,real,2000-01-01 05:00:00
9,5.6791534423828125,y-mom,real,2000-01-01 05:00:00
10,2.396172285079956,y-mom,real,2000-01-01 05:00:00
11,-3.4893176555633545,y-mom,real,2000-01-01 05:00:00
12,-3.4379940032958984,y-mom,real,2000-01-01 05:00:00
13,9.61194896697998,y-mom,real,2000-01-01 05:00:00
14,-11.549555778503418,y-mom,real,2000-01-01 05:00:00
15,-4.918151378631592,y-mom,real,2000-01-01 05:00:00
16,-5.872151851654053,y-mom,real,2000-01-01 05:00:00
17,-5.095919132232666,y-mom,real,2000-01-01 05:00:00
18,11.943076133728027,y-mom,real,2000-01-01 05:00:00
19,-12.44050407409668,y-mom,real,2000-01-01 05:00:00
20,-3.9539036750793457,y-mom,real,2000-01-01 05:00:00
21,1.5554155111312866,y-mom,real,2000-01-01 05:00:00
22,20.253332138061523,y-mom,real,2000-01-01 05:00:00
23,-3.3302855491638184,y-mom,real,2000-01-01 05:00:00
24,-13.403223037719727,y-mom,real,2000-01-01 05:00:00
25,18.06842041015625,y-mom,real,2000-01-01 05:00:00
26,39.01245880126953,y-mom,real,2000-01-01 05:00:00
27,41.685062408447266,y-mom,real,2000-01-01 05:00:00
28,9.891209602355957,y-mom,real,2000-01-01 05:00:00
29,-34.43433380126953,y-mom,real,2000-01-01 05:00:00
30,6.487115383148193,y-mom,real,2000-01-01 05:00:00
31,-14.724738121032715,y-mom,real,2000-01-01 05:00:00
32,-16.96442222595215,y-mom,real,2000-01-01 05:00:00
33,-28.277267456054688,y-mom,real,2000-01-01 05:00:00
34,-1.4901347160339355,y-mom,real,2000-01-01 05:00:00
35,25.745784759521484,y-mom,real,2000-01-01 05:00:00
36,-15.585822105407715,y-mom,real,2000-01-01 05:00:00
37,-6.775439262390137,y-mom,real,2000-01-01 05:00:00
38,-12.252531051635742,y-mom,real,2000-01-01 05:00:00
39,14.05673599243164,y-mom,real,2000-01-01 05:00:00
40,25.725521087646484,y-mom,real,2000-01-01 05:00:00
41,19.59074592590332,y-mom,real,2000-01-01 05:00:00
42,85.58648681640625,y-mom,real,2000-01-01 05:00:00
43,14.674932479858398,y-mom,real,2000-01-01 05:00:00
44,16.840906143188477,y-mom,real,2000-01-01 05:00:00
45,-30.022756576538086,y-mom,real,2000-01-01 05:00:00
46,5.157529354095459,y-mom,real,2000-01-01 05:00:00
47,-25.164766311645508,y-mom,real,2000-01-01 05:00:00
48,-6.12320613861084,y-mom,real,2000-01-01 05:00:00
0,34.77954410601266,z-mom,real,2000-01-01 05:00:00
1,-233.19181170886077,z-mom,real,2000-01-01 05:00:00
2,-263.7024525316456,z-mom,real,2000-01-01 05:00:00
3,329.3453125,z-mom,real,2000-01-01 05:00:00
4,64.21258900316455,z-mom,real,2000-01-01 05:00:00
5,633.0256329113924,z-mom,real,2000-01-01 05:00:00
6,300.3852650316456,z-mom,real,2000-01-01 05:00:00
7,12.976420342167721,z-mom,real,2000-01-01 05:00:00
8,445.02820411392406,z-mom,real,2000-01-01 05:00:00
9,237.46675237341773,z-mom,real,2000-01-01 05:00:00
10,169.49541139240506,z-mom,real,2000-01-01 05:00:00
11,235.09446202531646,z-mom,real,2000-01-01 05:00:00
12,238.03390031645569,z-mom,real,2000-01-01 05:00:00
13,386.07535601265823,z-mom,real,2000-01-01 05:00:00
14,207.20395569620254,z-mom,real,2000-01-01 05:00:00
15,465.55466772151897,z-mom,real,2000-01-01 05:00:00
16,596.4653481012658,z-mom,real,2000-01-01 05:00:00
17,641.5089003164557,z-mom,real,2000-01-01 05:00:00
18,524.5019778481013,z-mom,real,2000-01-01 05:00:00
19,475.5810917721519,z-mom,real,2000-01-01 05:00:00
20,592.7830696202532,z-mom,real,2000-01-01 05:00:00
21,297.4772151898734,z-mom,real,2000-01-01 05:00:00
22,509.4226265822785,z-mom,real,2000-01-01 05:00:00
23,725.8132120253165,z-mom,real,2000-01-01 05:00:00
24,710.6022943037975,z-mom,real,2000-01-01 05:00:00
25,674.5832278481013,z-mom,real,2000-01-01 05:00:00
26,613.3182753164557,z-mom,real,2000-01-01 05:00:00
27,516.056091772152,z-mom,real,2000-01-01 05:00:00
28,422.46174841772154,z-mom,real,2000-01-01 05:00:00
29,317.08928006329114,z-mom,real,2000-01-01 05:00:00
30,324.69509493670887,z-mom,real,2000-01-01 05:00:00
31,630.6961234177215,z-mom,real,2000-01-01 05:00:00
32,605.8738924050633,z-mom,real,2000-01-01 05:00:00
33,626.0738132911392,z-mom,real,2000-01-01 05:00:00
34,529.0826740506329,z-mom,real,2000-01-01 05:00:00
35,344.96598101265823,z-mom,real,2000-01-01 05:00:00
36,132.08596716772152,z-mom,real,2000-01-01 05:00:00
37,282.6545886075949,z-mom,real,2000-01-01 05:00:00
38,384.82863924050633,z-mom,real,2000-01-01 05:00:00
39,417.09173259493673,z-mom,real,2000-01-01 05:00:00
40,266.190664556962,z-mom,real,2000-01-01 05:00:00
41,164.55698180379747,z-mom,real,2000-01-01 05:00:00
42,136.38546281645569,z-mom,real,2000-01-01 05:00:00
43,252.45316455696204,z-mom,real,2000-01-01 05:00:00
