,value,component,exp,Time
0,0.0,x-moist,real,2000-01-01 05:00:00
1,1.4713161244905848e-11,x-moist,real,2000-01-01 05:00:00
2,-7.43151790105756e-11,x-moist,real,2000-01-01 05:00:00
3,-1.3372107587894533e-10,x-moist,real,2000-01-01 05:00:00
4,1.465931642741225e-08,x-moist,real,2000-01-01 05:00:00
5,-2.3989192854401153e-08,x-moist,real,2000-01-01 05:00:00
6,-1.6982149020350334e-07,x-moist,real,2000-01-01 05:00:00
7,-4.6131529529702675e-07,x-moist,real,2000-01-01 05:00:00
8,3.114996260933367e-08,x-moist,real,2000-01-01 05:00:00
9,-2.896357784720749e-07,x-moist,real,2000-01-01 05:00:00
10,-3.007285158673767e-07,x-moist,real,2000-01-01 05:00:00
11,2.0013129642393324e-07,x-moist,real,2000-01-01 05:00:00
12,2.2030070567780058e-07,x-moist,real,2000-01-01 05:00:00
13,-4.2200201733066933e-07,x-moist,real,2000-01-01 05:00:00
14,-8.563784490434045e-07,x-moist,real,2000-01-01 05:00:00
15,-1.8360960893915035e-06,x-moist,real,2000-01-01 05:00:00
16,-2.523122930142563e-06,x-moist,real,2000-01-01 05:00:00
17,-6.586061545021948e-07,x-moist,real,2000-01-01 05:00:00
18,7.139492481655907e-07,x-moist,real,2000-01-01 05:00:00
19,2.051160890914616e-06,x-moist,real,2000-01-01 05:00:00
20,2.3934967430250254e-06,x-moist,real,2000-01-01 05:00:00
21,2.698656544453115e-06,x-moist,real,2000-01-01 05:00:00
22,1.5003192856966052e-06,x-moist,real,2000-01-01 05:00:00
23,1.1552079968168982e-06,x-moist,real,2000-01-01 05:00:00
24,2.0631830466300016e-06,x-moist,real,2000-01-01 05:00:00
25,2.2374479158315808e-06,x-moist,real,2000-01-01 05:00:00
26,2.029639745160239e-06,x-moist,real,2000-01-01 05:00:00
27,-8.967566600404098e-08,x-moist,real,2000-01-01 05:00:00
28,1.2341256194758898e-07,x-moist,real,2000-01-01 05:00:00
29,1.0184359098275308e-06,x-moist,real,2000-01-01 05:00:00
30,2.1847274922492943e-07,x-moist,real,2000-01-01 05:00:00
31,3.8201122265490994e-07,x-moist,real,2000-01-01 05:00:00
32,1.5822167824808275e-06,x-moist,real,2000-01-01 05:00:00
33,9.878813216346316e-07,x-moist,real,2000-01-01 05:00:00
34,-4.636173116523423e-07,x-moist,real,2000-01-01 05:00:00
35,-9.301215868617874e-07,x-moist,real,2000-01-01 05:00:00
36,3.9969535237105447e-07,x-moist,real,2000-01-01 05:00:00
37,1.9174531189491972e-06,x-moist,real,2000-01-01 05:00:00
38,1.734176976242452e-06,x-moist,real,2000-01-01 05:00:00
39,1.760090754032717e-06,x-moist,real,2000-01-01 05:00:00
40,1.0969531558657764e-06,x-moist,real,2000-01-01 05:00:00
41,1.3676315120392246e-06,x-moist,real,2000-01-01 05:00:00
42,2.8065953756595263e-06,x-moist,real,2000-01-01 05:00:00
43,1.0089690931636142e-06,x-moist,real,2000-01-01 05:00:00
44,5.469833013194147e-07,x-moist,real,2000-01-01 05:00:00
45,2.895670832003816e-07,x-moist,real,2000-01-01 05:00:00
46,7.752440751573886e-07,x-moist,real,2000-01-01 05:00:00
47,-2.6735662572718866e-07,x-moist,real,2000-01-01 05:00:00
48,1.1147407121825381e-06,x-moist,real,2000-01-01 05:00:00
0,0.0,y-moist,real,2000-01-01 05:00:00
1,4.249238808040623e-11,y-moist,real,2000-01-01 05:00:00
2,9.326543010113042e-11,y-moist,real,2000-01-01 05:00:00
3,1.5421833254869455e-10,y-moist,real,2000-01-01 05:00:00
4,-1.934668918124327e-11,y-moist,real,2000-01-01 05:00:00
5,6.2862035576927155e-09,y-moist,real,2000-01-01 05:00:00
6,3.342844223652719e-08,y-moist,real,2000-01-01 05:00:00
7,-2.985253999554516e-08,y-moist,real,2000-01-01 05:00:00
8,2.1365336166923043e-08,y-moist,real,2000-01-01 05:00:00
9,4.308747136860802e-08,y-moist,real,2000-01-01 05:00:00
10,1.6035723859886275e-08,y-moist,real,2000-01-01 05:00:00
11,-3.3915735997425145e-08,y-moist,real,2000-01-01 05:00:00
12,-8.96269796157867e-08,y-moist,real,2000-01-01 05:00:00
13,1.4885921473251074e-07,y-moist,real,2000-01-01 05:00:00
14,-2.0368956654692738e-07,y-moist,real,2000-01-01 05:00:00
15,-4.0659767108763845e-08,y-moist,real,2000-01-01 05:00:00
16,-1.029038330102594e-07,y-moist,real,2000-01-01 05:00:00
17,-5.2540514161592e-08,y-moist,real,2000-01-01 05:00:00
18,1.5919408724585082e-07,y-moist,real,2000-01-01 05:00:00
19,-2.501811025013012e-07,y-moist,real,2000-01-01 05:00:00
20,-1.2107504687719484e-07,y-moist,real,2000-01-01 05:00:00
21,3.805315529348263e-08,y-moist,real,2000-01-01 05:00:00
22,2.9076630880808807e-07,y-moist,real,2000-01-01 05:00:00
23,6.830760668208313e-08,y-moist,real,2000-01-01 05:00:00
24,-2.0253914101431292e-07,y-moist,real,2000-01-01 05:00:00
25,2.4567782475060085e-07,y-moist,real,2000-01-01 05:00:00
26,2.962024723274226e-07,y-moist,real,2000-01-01 05:00:00
27,2.3142310112689302e-07,y-moist,real,2000-01-01 05:00:00
28,3.106249835127528e-08,y-moist,real,2000-01-01 05:00:00
29,-4.3228467916378577e-07,y-moist,real,2000-01-01 05:00:00
30,-9.360218911069751e-08,y-moist,real,2000-01-01 05:00:00
31,8.289746666889641e-09,y-moist,real,2000-01-01 05:00:00
32,-6.659685425347561e-08,y-moist,real,2000-01-01 05:00:00
33,-2.6826694465853507e-07,y-moist,real,2000-01-01 05:00:00
34,-1.25617305002379e-07,y-moist,real,2000-01-01 05:00:00
35,1.4267391179600963e-07,y-moist,real,2000-01-01 05:00:00
36,-1.2671496563143592e-07,y-moist,real,2000-01-01 05:00:00
37,-1.0091425650671226e-07,y-moist,real,2000-01-01 05:00:00
38,-1.4228372435809433e-07,y-moist,real,2000-01-01 05:00:00
39,4.149053722812823e-08,y-moist,real,2000-01-01 05:00:00
40,2.519702206882357e-07,y-moist,real,2000-01-01 05:00:00
41,3.1881995710136835e-07,y-moist,real,2000-01-01 05:00:00
42,9.225093435816234e-07,y-moist,real,2000-01-01 05:00:00
43,2.6284683940502873e-07,y-moist,real,2000-01-01 05:00:00
44,1.9525876382431306e-07,y-moist,real,2000-01-01 05:00:00
45,-3.5812678333968506e-07,y-moist,real,2000-01-01 05:00:00
46,8.078433211267111e-08,y-moist,real,2000-01-01 05:00:00
47,-3.09761588823676e-07,y-moist,real,2000-01-01 05:00:00
48,-5.006299730325736e-08,y-moist,real,2000-01-01 05:00:00
0,8.085103782153205e-07,z-moist,real,2000-01-01 05:00:00
1,1.409694315170091e-07,z-moist,real,2000-01-01 05:00:00
2,1.3513001318596586e-06,z-moist,real,2000-01-01 05:00:00
3,-2.6771386855435147e-07,z-moist,real,2000-01-01 05:00:00
4,-5.881116936230867e-08,z-moist,real,2000-01-01 05:00:00
5,-8.818448102691128e-07,z-moist,real,2000-01-01 05:00:00
6,-1.7738756664757487e-06,z-moist,real,2000-01-01 05:00:00
7,-7.933617239417154e-07,z-moist,real,2000-01-01 05:00:00
8,-6.5258082261757e-07,z-moist,real,2000-01-01 05:00:00
9,-6.773750020686207e-07,z-moist,real,2000-01-01 05:00:00
10,-7.906715721599286e-07,z-moist,real,2000-01-01 05:00:00
11,-1.3333800192804464e-07,z-moist,real,2000-01-01 05:00:00
12,-1.099927548342679e-06,z-moist,real,2000-01-01 05:00:00
13,-9.331754202471127e-07,z-moist,real,2000-01-01 05:00:00
14,-1.0521865090284543e-06,z-moist,real,2000-01-01 05:00:00
15,-1.65365606876491e-06,z-moist,real,2000-01-01 05:00:00
