,real,stable,neutstab,logT,low_step,high_step,Times
0,8.085103782153205e-07,8.17667474805177e-07,8.182479304414761e-07,8.210597288665137e-07,8.072455773200793e-07,8.110019608247506e-07,2000-01-01 01:00:00
1,1.4127357776349715e-07,5.986958764606404e-07,1.1437681067998981e-07,2.0624169455198848e-07,2.141244485444004e-07,6.048530261495153e-08,2000-01-01 01:05:00
2,1.3518138765442865e-06,5.593991243554828e-07,-1.569827338574591e-07,-1.1762707568986776e-07,-4.214088141674262e-07,-2.005416851901872e-07,2000-01-01 01:10:00
3,-2.6865021481381056e-07,7.503812286060621e-07,-1.042077955222068e-07,-3.6493080657930715e-07,-7.494071534398952e-07,-6.151772816765524e-08,2000-01-01 01:15:00
4,-3.204476746064538e-08,1.085670267580223e-06,-2.3124740534604347e-07,-1.1145145903754648e-06,-5.591742599057782e-07,-1.3389258241984134e-07,2000-01-01 01:20:00
5,-5.276591097403001e-07,1.1958353780533377e-06,-4.127405223335941e-07,-1.2947463008833246e-06,-6.639933031196874e-07,-7.399130299961454e-08,2000-01-01 01:25:00
6,-6.256463278457633e-07,1.3570958348241853e-06,-1.6598001442490167e-06,-1.750947787889322e-06,-1.0105054559373249e-06,1.4366769737304668e-08,2000-01-01 01:30:00
7,-8.478779280114648e-07,1.3190095475255465e-06,-9.454254130197356e-07,-2.0750659423011034e-06,1.3573980670370003e-06,4.4716048676813834e-06,2000-01-01 01:35:00
8,8.278007594008504e-07,1.438047172973423e-06,2.5649427634907396e-06,-2.0559366930683607e-06,3.0029379544591587e-06,5.377660151760763e-06,2000-01-01 01:40:00
9,-7.95799347468093e-07,8.865963818722396e-07,3.0371798480194265e-07,-9.899329782030368e-07,1.7632944661007844e-06,-2.927840843099896e-06,2000-01-01 01:45:00
10,1.62129915132695e-07,5.076975290559766e-07,-2.407266721046987e-06,-7.332000640290751e-07,-3.5415631344544116e-06,-3.443828375025135e-06,2000-01-01 01:50:00
11,2.0019050268700406e-06,-3.218757845754134e-07,-3.4228778427928726e-06,-9.287994178613432e-07,-1.9586919676575108e-06,-1.9670219159442113e-06,2000-01-01 01:55:00
12,-7.548394593488663e-07,9.76714070791878e-07,-3.6686554750891054e-06,-2.8990654809719293e-06,3.6603121517618075e-07,-2.0233349503058303e-06,2000-01-01 02:00:00
13,-2.867024473928297e-06,-3.71075283513314e-07,-3.6413600389982716e-06,-2.7120491328292423e-06,-3.1458576882823185e-07,-7.80472222559874e-07,2000-01-01 02:05:00
14,-4.150411227265413e-06,3.492108665044771e-07,-2.7165102242006583e-06,-2.844431520471413e-06,4.4916359738751064e-07,5.973192470218571e-07,2000-01-01 02:10:00
15,-4.737316782977152e-06,1.1492568320665923e-06,-1.2380673865663994e-06,-3.4198467223108354e-06,2.754518547728275e-06,3.002265270591619e-06,2000-01-01 02:15:00
16,-7.4542106642782735e-06,-1.622039264153108e-07,-1.6418326808140788e-06,-4.261383592856413e-06,2.757439724547699e-06,5.304323090231149e-06,2000-01-01 02:20:00
17,-2.865884589827826e-06,5.441369406566358e-07,-8.084387822023766e-07,-3.4291700218620717e-06,1.5236572305840601e-06,2.0114116604061196e-06,2000-01-01 02:25:00
18,-7.94480344718033e-07,1.546567331894914e-06,1.2967316508043559e-06,-3.368900770165286e-07,-7.45983136686294e-08,2.8094577153671155e-06,2000-01-01 02:30:00
19,-2.0489030213889523e-06,2.069032097430944e-06,2.776625532406578e-06,-7.203684681026294e-07,-6.760776585319429e-07,5.401932922504324e-06,2000-01-01 02:35:00
20,-6.625142742461922e-07,1.6327720893830793e-06,1.689743024293927e-06,-4.742419412627609e-07,6.366015533117962e-08,2.7662714262389065e-06,2000-01-01 02:40:00
