,real_10,real_50,real_100,real_500,real_1000,real_1500,real_2000,real_2500,real_3000,real_3500,real_4000,real_5000,stable_10,stable_50,stable_100,stable_500,stable_1000,stable_1500,stable_2000,stable_2500,stable_3000,stable_3500,stable_4000,stable_5000,neutstab_10,neutstab_50,neutstab_100,neutstab_500,neutstab_1000,neutstab_1500,neutstab_2000,neutstab_2500,neutstab_3000,neutstab_3500,neutstab_4000,neutstab_5000,logT_10,logT_50,logT_100,logT_500,logT_1000,logT_1500,logT_2000,logT_2500,logT_3000,logT_3500,logT_4000,logT_5000,low_step_10,low_step_50,low_step_100,low_step_500,low_step_1000,low_step_1500,low_step_2000,low_step_2500,low_step_3000,low_step_3500,low_step_4000,low_step_5000,high_step_10,high_step_50,high_step_100,high_step_500,high_step_1000,high_step_1500,high_step_2000,high_step_2500,high_step_3000,high_step_3500,high_step_4000,high_step_5000
0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,116.48807048797607,130.14813423156738,133.0160665512085,140.62568187713623,150.7398223876953,170.76733112335205,186.9600772857666,197.78188705444336,203.52150917053223,220.1892375946045,237.82100677490234,272.16968536376953,101.33725583553314,100.91305740177631,100.39601407945156,103.6976745724678,133.53140354156494,175.8568525314331,206.18273735046387,208.2517433166504,213.16969871520996,222.44653701782227,239.08785820007324,274.01750564575195,115.63512444496155,131.70160055160522,135.49530267715454,140.10385036468506,142.04765796661377,145.96357345581055,159.36827182769775,185.2870750427246,220.54031372070312,232.96151161193848,246.62625312805176,272.9629135131836,103.88645946979523,117.20885157585144,122.25861072540283,141.91972732543945,160.76542377471924,179.59144115447998,191.07840538024902,203.13243865966797,207.58703231811523,215.0143051147461,226.3147258758545,285.5184745788574,106.44750833511353,111.76416516304016,112.89845824241638,116.57471060752869,122.96769857406616,162.494158744812,215.70734977722168,239.29458618164062,247.99521446228027,255.4825782775879,263.86186599731445,284.11081314086914,111.34806752204895,122.49849319458008,125.28794050216675,129.55967903137207,132.46782064437866,140.41756629943848,174.22972202301025,218.2458782196045,242.78342247009277,259.92517471313477,271.9561004638672,290.3127098083496
2,140.51025867462158,161.58080577850342,166.62748098373413,181.25136375427246,201.47964477539062,241.5346622467041,273.9201545715332,295.5637741088867,307.04301834106445,340.378475189209,375.5946350097656,444.2283058166504,102.74118810892105,101.62235409021378,100.67046761512756,108.64425957202911,167.06280708312988,251.7137050628662,312.36547470092773,316.5034866333008,326.3393974304199,344.89307403564453,378.1628608703613,448.09404373168945,139.76380467414856,165.10529279708862,171.7298936843872,180.20770072937012,184.09531593322754,191.9271469116211,218.7365436553955,270.5741500854492,341.08062744140625,365.82536697387695,393.1644916534424,445.90478897094727,113.99219214916229,136.46207928657532,145.8288049697876,183.8394546508789,221.53084754943848,259.18288230895996,285.5427837371826,306.26487731933594,315.17406463623047,330.0286102294922,352.7077579498291,471.1673164367676,116.03362679481506,123.99336457252502,126.09943151473999,133.14942121505737,145.93539714813232,224.98831748962402,331.41469955444336,378.5646343231201,396.0184955596924,411.04272842407227,427.7775192260742,468.3189582824707,128.74170303344727,146.19296073913574,151.15508317947388,159.11935806274414,164.93564128875732,180.83513259887695,248.4594440460205,336.491756439209,385.764684677124,419.9423027038574,443.8728904724121,480.6578063964844
3,168.5091996192932,193.90387058258057,200.23889541625977,222.59339809417725,252.21946716308594,313.14155101776123,361.07916831970215,393.7174701690674,415.1259517669678,460.6879138946533,513.3088397979736,616.1347198486328,103.90470124781132,102.16445609927177,100.94492115080357,113.59084457159042,200.59421062469482,327.6447629928589,418.5973644256592,424.7590160369873,439.486608505249,467.276611328125,517.1876430511475,622.1831130981445,168.70519518852234,199.69233751296997,207.96448469161987,220.52489280700684,226.1429738998413,237.89072036743164,278.10481548309326,355.8216857910156,461.560001373291,498.68922233581543,539.516019821167,618.7474250793457,128.33132326602936,155.7153069972992,169.39899921417236,225.75918197631836,282.2962713241577,338.7875461578369,380.25092124938965,409.5555782318115,423.0347156524658,445.3956127166748,479.1007900238037,656.9132614135742,127.05959439277649,136.2225639820099,139.3004047870636,149.72413182258606,168.9030957221985,287.48247623443604,447.23158836364746,517.7654933929443,544.0000343322754,566.56418800354,591.7088317871094,652.5765419006348,149.38748836517334,169.8874282836914,177.022225856781,188.6790370941162,197.403461933136,221.25269889831543,322.5489044189453,454.9647521972656,528.904857635498,586.2148094177246,615.61279296875,670.9753227233887
4,198.6573338508606,226.22693538665771,234.41049337387085,263.93543243408203,302.9610776901245,384.74843978881836,448.2381820678711,492.27818489074707,523.4743785858154,581.1081409454346,651.0230445861816,787.8709983825684,104.81775864958763,102.70655810832977,101.12898947671056,118.53742957115173,241.0508394241333,413.379225730896,524.8610305786133,532.9727268218994,552.5767040252686,589.5681381225586,656.2124252319336,796.2878227233887,200.40679574012756,234.27938222885132,244.81694221496582,260.84208488464355,268.33649158477783,285.5308675765991,337.4017095565796,441.06922149658203,581.9198894500732,631.3460731506348,685.6243324279785,791.4628028869629,145.5401748418808,176.5774428844452,194.25432443618774,267.01196670532227,342.86972999572754,418.39221000671387,475.15111923217773,512.954158782959,531.1491584777832,561.0977363586426,605.5734062194824,842.7621841430664,138.82375955581665,148.8080596923828,152.79913306236267,166.63463473320007,191.87079429626465,349.89195823669434,563.2259178161621,656.9663524627686,691.9238948822021,726.177568435669,755.6829071044922,836.8833351135254,171.88598155975342,194.46873664855957,203.37460041046143,218.5212254524231,229.87128257751465,261.6702651977539,396.6383647918701,573.6884212493896,672.1850681304932,752.3850059509277,787.1573829650879,861.2673377990723
5,228.80546808242798,258.8861632347107,268.4449338912964,305.2566432952881,353.7026882171631,456.91471099853516,535.5448532104492,590.8388996124268,631.8228054046631,701.647424697876,788.7076377868652,959.4079971313477,105.73081605136395,103.10257218778133,101.31305780261755,123.48401457071304,281.5762758255005,499.1954183578491,631.1246967315674,641.150598526001,665.6121253967285,711.7728233337402,795.1811981201172,970.407829284668,232.1083962917328,269.52064514160156,281.6097044944763,301.16233825683594,310.96508026123047,333.1710147857666,396.6986036300659,526.4375305175781,702.1245002746582,763.7274742126465,831.426191329956,964.0190696716309,162.74902641773224,198.83605360984802,219.10964965820312,310.50259590148926,403.44318866729736,498.0945920944214,570.0513172149658,616.3527393341064,639.5310020446777,677.1189880371094,732.1891689300537,1028.8196182250977,150.5879247188568,161.7065179347992,166.29786133766174,183.5451376438141,214.8384928703308,412.30144023895264,679.4020652770996,796.104040145874,839.7759437561035,885.8428001403809,919.7299766540527,1021.2796974182129,194.3844747543335,219.75667715072632,229.72697496414185,248.36341381072998,262.4050283432007,302.3456907272339,470.6910562515259,692.6437473297119,815.4652786254883,918.4722709655762,963.8920211791992,1051.4779090881348
6,259.4759702682495,291.5453910827637,303.0823540687561,346.57785415649414,407.8797960281372,529.080982208252,623.0192756652832,689.8392200469971,740.5073642730713,822.3011016845703,926.3945865631104,1130.7350730895996,106.4401127398014,103.4985862672329,101.45000642165542,128.43059957027435,322.1017122268677,585.0116109848022,737.4284648895264,749.3284702301025,778.6475467681885,833.8895511627197,934.081563949585,1144.5427894592285,264.88889813423157,304.7619080543518,319.0136480331421,341.4825916290283,353.5936689376831,380.8111619949341,456.04772090911865,612.0885753631592,822.13059425354,895.7593631744385,976.856803894043,1136.3829040527344,182.00225412845612,221.09466433525085,243.9649748802185,353.99322509765625,463.79298210144043,577.7969741821289,665.0814437866211,719.8936462402344,747.9128456115723,793.4237766265869,859.0133857727051,1214.9817085266113,162.81712412834167,174.60497617721558,180.08824467658997,200.4556405544281,237.80619144439697,474.7858715057373,795.7486152648926,935.2087211608887,987.5545597076416,1045.5180263519287,1089.0473365783691,1205.7121658325195,218.07894229888916,245.04461765289307,256.62285804748535,278.1936573982239,294.9387741088867,343.02111625671387,544.7437477111816,811.7886352539062,958.859453201294,1084.5024490356445,1140.5444717407227,1241.6361618041992
7,291.27028942108154,324.9294877052307,337.7197742462158,387.8990650177002,462.27489948272705,606.1808776855469,710.4936981201172,789.2828941345215,849.6416664123535,942.9547786712646,1064.1240787506104,1301.767749786377,106.9822147488594,103.7730398029089,101.58695504069328,135.04341185092926,362.62714862823486,671.0143327713013,843.7681484222412,857.4693393707275,891.621036529541,955.9160137176514,1072.9006576538086,1318.710651397705,299.0748965740204,340.84766149520874,356.41759157180786,381.8028450012207,396.22225761413574,428.5427236557007,515.3968381881714,697.7396202087402,942.1366882324219,1027.368402481079,1121.8554019927979,1308.269920349121,201.25548183918,244.66485857963562,269.60100173950195,397.48385429382324,524.1427755355835,657.6647281646729,760.1115703582764,823.6134052276611,856.5549945831299,914.2722034454346,986.0968208312988,1401.2464904785156,175.04632353782654,187.80594944953918,193.8786280155182,217.36614346504211,263.96443128585815,537.270302772522,912.0951652526855,1074.345006942749,1135.2766609191895,1205.1598453521729,1258.4392356872559,1390.163345336914,241.77340984344482,270.98416328430176,283.51874113082886,308.0239009857178,328.28407049179077,383.69654178619385,618.8512277603149,930.9335231781006,1111.5894412994385,1250.5034446716309,1317.0503997802734,1431.7461013793945
8,323.0646085739136,358.31358432769775,372.9318571090698,429.7736883163452,516.6700029373169,683.2807731628418,798.2546138763428,888.7265682220459,959.3227863311768,1063.7323379516602,1201.9526290893555,1472.7580642700195,107.5243167579174,104.0474933385849,101.72567543573678,141.65622413158417,403.15258502960205,757.0170545578003,951.2594413757324,965.56715965271,1004.5205497741699,1077.942476272583,1211.6295146942139,1492.8884315490723,333.2608950138092,376.9334149360657,394.35461044311523,422.31818199157715,438.93627643585205,476.2742853164673,581.4652633666992,783.8425827026367,1061.9001388549805,1158.4873676300049,1266.8540000915527,1479.8725509643555,222.117617726326,267.8470814228058,295.2370285987854,440.4332447052002,586.8197727203369,737.5324821472168,855.2214431762695,927.3331642150879,965.4360294342041,1035.3548526763916,1113.4600067138672,1587.6083946228027,187.63181924819946,201.0069227218628,207.6690113544464,234.27664637565613,290.12267112731934,612.8673934936523,1028.593521118164,1213.5950374603271,1286.571979522705,1364.7314643859863,1427.894287109375,1574.6068572998047,266.24871492385864,296.92370891571045,310.41462421417236,337.85414457321167,361.6293668746948,429.0325736999512,692.9587078094482,1050.20658493042,1264.3631839752197,1416.495704650879,1493.4873008728027,1621.7276763916016
9,355.72383642196655,392.3480248451233,408.1439399719238,471.64831161499023,571.0651063919067,760.4530334472656,886.0155296325684,988.522834777832,1069.00390625,1184.678077697754,1339.9535465240479,1643.770809173584,107.92033083736897,104.23156166449189,101.86439583078027,148.26903641223907,443.8474750518799,843.2667398452759,1058.7507343292236,1073.6649799346924,1117.3335933685303,1199.8784828186035,1350.265474319458,1667.0671844482422,368.50215792655945,413.784863948822,432.35440969467163,462.8335189819336,481.65029525756836,524.0058469772339,647.769341468811,883.4840679168701,1181.3780212402344,1289.056053161621,1411.3666915893555,1651.1628150939941,244.37622845172882,292.26123213768005,322.0805597305298,483.38263511657715,649.2926740646362,817.5835990905762,950.4043102264404,1031.2326622009277,1074.3170642852783,1156.6623401641846,1249.5795726776123,1774.1454315185547,200.53027749061584,214.50565099716187,221.75339460372925,251.8138885498047,316.2809109687805,688.4644842147827,1145.2195835113525,1353.0287837982178,1437.8353691101074,1524.214744567871,1597.379207611084,1759.0136909484863,291.5417695045471,323.38385820388794,337.69049882888794,367.98428773880005,394.9746632575989,474.3686056137085,767.2511577606201,1169.5450592041016,1417.1566009521484,1582.4869346618652,1669.841079711914,1811.6171264648438
10,388.38306427001953,426.35740995407104,443.4023880958557,513.5229349136353,625.796422958374,837.6252937316895,974.1263198852539,1088.51637840271,1179.279441833496,1305.873327255249,1478.204002380371,1814.8600006103516,108.31634491682053,104.41562999039888,102.00311622582376,154.88184869289398,484.5423650741577,929.8118734359741,1166.2158012390137,1182.4215030670166,1230.1466369628906,1321.7255973815918,1488.8111877441406,1841.2358093261719,403.7434208393097,450.63631296157837,470.354208946228,503.34885597229004,524.3643140792847,571.7374086380005,714.0734195709229,983.4399223327637,1300.5291175842285,1419.0205574035645,1555.347089767456,1822.1162033081055,266.26831352710724,316.6753828525543,348.92409086227417,528.59290599823,711.7655754089355,897.6347160339355,1045.5871772766113,1135.2514553070068,1183.4346866607666,1278.1967067718506,1385.8107662200928,1960.7530975341797,213.42873573303223,228.00437927246094,235.83777785301208,269.35113072395325,342.4391508102417,764.1227054595947,1261.9654369354248,1492.6800918579102,1589.1266059875488,1683.6161994934082,1766.8369102478027,1943.2176208496094,316.8348240852356,349.84400749206543,364.9663734436035,398.1144309043884,428.43918085098267,519.7046375274658,841.543607711792,1288.926191329956,1569.972848892212,1748.4672737121582,1846.0772323608398,2001.4078521728516
